Colegiado;Componente
4402;1945
29212;316
29212;185
29212;1929
29212;2846
29212;14
29212;304
29212;3162
14645;244
105062;105065
29217;1929
4;3
105062;118179
57680;244
91269;240
2259;89
75700;42670
1916;1812
76390;2837
76175;1927
29401;1927
29401;2981
29401;1812
76175;14
76175;1988
54888;2846
77695;2852
77695;42670
2042;2858
2042;1929
2042;2981
2042;1934
2042;89
2042;2210
77695;3162
77695;41066
77695;72084
77695;263
77695;2844
105062;118178
76175;17125
76175;3162
76175;244
76175;42670
76175;2852
3319;1801
906;94
906;48
906;1092
1736;1089
72625;11
1703;24744
1703;8
1703;47464
1703;47482
70227;60478
70189;1913
73049;13935
4678;223
487;48
30702;316
30702;185
30702;1929
30702;2846
30702;14
30702;304
30702;3162
30703;316
30703;185
30703;1929
30703;2846
30703;14
30703;304
30703;3162
30704;316
30704;185
30704;1929
30704;2846
30704;304
30704;14
30704;3162
20373;3162
1781;3162
352;2981
1932;1801
2766;2844
47762;91624
86572;3243
2764;1930
13403;1930
489;35
319;1801
30953;3205
30953;1927
30953;2981
47072;54844
254;244
74617;1812
254;1975
254;1977
47762;2852
254;249
47762;52303
254;3243
11722;11748
11728;11748
2766;263
2159;316
1223;1929
1223;89
1223;93
1223;25
2761;2844
487;185
86572;72571
76708;41288
77312;51
76764;45634
3406;33462
76731;41276
47762;46
2606;48
76175;1812
77695;1927
50447;1945
76706;55360
76746;41268
76746;49672
50447;304
76746;41383
76700;41280
76700;51417
118712;3618
76700;34142
76701;41367
76701;53810
118712;50934
76701;20660
76702;41338
76702;51706
50447;2981
76702;33209
76703;41339
76703;55306
118712;3619
76703;33219
32061;78
32061;77
32061;89
32061;478
32061;235
32061;324
32061;263
32061;1930
76175;25
75700;2846
1658;470
1658;427
1658;423
76390;1926
76390;42672
76390;1988
76390;3159
2764;1929
76390;244
5;3
5;2981
5;1929
4;89
1784;3
7211;94
118712;3620
118712;3621
118712;29029
76704;41287
76704;45569
118712;70352
76704;25209
76390;72084
322;316
85702;1929
76390;36670
76391;8836
76391;3152
229;316
229;1930
32529;1929
32529;1930
32529;2844
32529;306
32529;316
4402;1801
7173;1977
3783;1975
7128;1977
46768;303
8302;1977
8358;1977
76706;41340
23448;1927
23448;14
23448;1988
23448;1929
23448;2981
23448;263
23448;304
23448;2846
23448;3162
23448;316
23448;21089
23448;8838
32415;304
32415;1929
32415;316
